1122281838586814470 | YOKO よこ | @YOYA78213360 | Private: 0 | Verified: 0 | Bio: ‏‏‏‏‏‏צייצן בוטיק, | Location:  | Url: None | Joined: 27 Apr 2019 4:30 PM | Tweets: 921 | Following: 384 | Followers: 42 | Likes: 2148 | Media: 18 | Avatar: https://pbs.twimg.com/profile_images/1125179622285508609/GEbPmxdD_400x400.jpg
17602549 | ヨアヴ八五 👨‍💻 יואב85 | @yoav85 | Private: 0 | Verified: 0 | Bio: ‏‏‏גיק, מתכנת, טכנוסקסואל, יפנופיל. חובב טבע ומשחקי מילים מטופשים. בלוגר במיל', משתדל להיות אופטימי, ועלול להכיל שאריות הומור. מומלץ לכבות ריטוויטים :) | Location: Israel | Url: http://favstar.fm/users/yoav85 | Joined: 24 Nov 2008 2:02 PM | Tweets: 181923 | Following: 1864 | Followers: 3451 | Likes: 205353 | Media: 5369 | Avatar: https://pbs.twimg.com/profile_images/446562825758994432/o5SUk1Cr_400x400.jpeg
731874046439247873 | bdallak | @BdallakYuval | Private: 0 | Verified: 0 | Bio: אומרים ׳חושב שלא׳ ולא ׳לא חושב׳, במבה זה כל השקית או בכלל לא. סודה מהסטרים | Location: IL  | Url: None | Joined: 15 May 2016 8:49 AM | Tweets: 350 | Following: 335 | Followers: 77 | Likes: 6009 | Media: 28 | Avatar: https://pbs.twimg.com/profile_images/886258909207547904/1Y89Wt3g_400x400.jpg
463723493 | Re'em Izchak | @ReemIzchak | Private: 0 | Verified: 0 | Bio: ‏ברחתי לטוויטר מהפייסבוק ועכשיו אני מבזבז את הזמן בשניהם :( | Location: Israel | Url: None | Joined: 14 Jan 2012 4:01 AM | Tweets: 1841 | Following: 383 | Followers: 189 | Likes: 31111 | Media: 62 | Avatar: https://pbs.twimg.com/profile_images/830493249429188608/Fw4cB_hu_400x400.jpg
1008811201000824833 | יוג'ין רמות | @yogiho_ | Private: 0 | Verified: 0 | Bio:  | Location:  | Url: None | Joined: 18 Jun 2018 1:38 PM | Tweets: 0 | Following: 140 | Followers: 4 | Likes: 3 | Media: 0 | Avatar: https://abs.twimg.com/sticky/default_profile_images/default_profile_400x400.png
2182636273 | yakir narkis | @yakirna | Private: 0 | Verified: 0 | Bio: Full stack developer @WIX | Location: Israel | Url: None | Joined: 8 Nov 2013 9:39 AM | Tweets: 60 | Following: 241 | Followers: 58 | Likes: 454 | Media: 10 | Avatar: https://pbs.twimg.com/profile_images/714735054262505473/chNR60dy_400x400.jpg
185642233 | Amiram Mizne | @AmiramMizne | Private: 0 | Verified: 0 | Bio: Turning technologies and concepts into products and solutions since 1999. @RedisLabs - Tweets are my own | Location: Northern California | Url: None | Joined: 1 Sep 2010 6:52 AM | Tweets: 2170 | Following: 1734 | Followers: 655 | Likes: 3113 | Media: 224 | Avatar: https://pbs.twimg.com/profile_images/1032321943993643009/HTXUvCwz_400x400.jpg
1015814172360216578 | a. haim | @hkastnet | Private: 0 | Verified: 0 | Bio: סובל ביום, מתכנת בלילה. | Location:  | Url: None | Joined: 7 Jul 2018 9:25 PM | Tweets: 39 | Following: 22 | Followers: 10 | Likes: 112 | Media: 9 | Avatar: https://pbs.twimg.com/profile_images/1015817606161367040/RrockKoR_400x400.jpg
1436411 | 🔥yaelvaya | @yaelvaya | Private: 0 | Verified: 0 | Bio:  | Location: Israel | Url: None | Joined: 18 Mar 2007 12:43 PM | Tweets: 19860 | Following: 596 | Followers: 258 | Likes: 16732 | Media: 170 | Avatar: https://pbs.twimg.com/profile_images/812584593161330688/qH7iuPVz_400x400.jpg
2499633878 | I K | @idkn_5 | Private: 0 | Verified: 0 | Bio: I write code, and makes bugs | Location:  | Url: None | Joined: 16 May 2014 12:12 PM | Tweets: 108 | Following: 1849 | Followers: 127 | Likes: 365 | Media: 5 | Avatar: https://pbs.twimg.com/profile_images/1121361427313377280/_78KhAp7_400x400.png
829625939285962753 | Angular USA | @AngularUSA | Private: 0 | Verified: 0 | Bio: #angular #js #development | Location:  | Url: http://edu.learnstartup.net | Joined: 9 Feb 2017 1:40 AM | Tweets: 420 | Following: 161 | Followers: 68 | Likes: 15 | Media: 410 | Avatar: https://pbs.twimg.com/profile_images/980669764036018176/ImeKHaAH_400x400.jpg
1046627258872594432 | Shmuel H. 🏳️‍🌈 | @reflex0x | Private: 0 | Verified: 0 | Bio: I read code sometimes. Available for hire.  Feel free to get in touch: reflexe0 at protonmail dot com. | Location: Israel / Palestine / 0x4141414 | Url: http://github.com/reflexe | Joined: 30 Sep 2018 10:05 PM | Tweets: 1864 | Following: 297 | Followers: 51 | Likes: 9405 | Media: 121 | Avatar: https://pbs.twimg.com/profile_images/1046629698422353920/20mgIfbR_400x400.jpg
729142507624337409 | Klil H. Neori | @khneori | Private: 0 | Verified: 0 | Bio: VR developer at http://flyinside-fsx.com  - sim out in early access! | once and future (?) scientist (all tweets in individual capacity; same username on gmail) | Location:  | Url: http://khneori.itch.io | Joined: 7 May 2016 7:54 PM | Tweets: 10505 | Following: 2799 | Followers: 351 | Likes: 72570 | Media: 169 | Avatar: https://pbs.twimg.com/profile_images/729143523497410562/P9MI2IJt_400x400.jpg
2887841413 | The Mrs. Khan | @TheMrsKhan | Private: 0 | Verified: 0 | Bio: ‏אם התיישבת ועדיין יש אור זה אומר שאמפירית השמש לא זורחת לך מהתחת | Location:  | Url: None | Joined: 2 Nov 2014 12:53 PM | Tweets: 4297 | Following: 419 | Followers: 650 | Likes: 20581 | Media: 92 | Avatar: https://pbs.twimg.com/profile_images/529015086094905344/1xN9euTa_400x400.jpeg
69814835 | Raphool | @Nua_tanua | Private: 0 | Verified: 0 | Bio: ‏‏מתנגד למסעדות שמגישות אוכל במחבת שהוא לא בושל בו. אבטחת מידע, אקטואליה, ספורט. | Location:  | Url: None | Joined: 29 Aug 2009 12:16 AM | Tweets: 42 | Following: 157 | Followers: 15 | Likes: 164 | Media: 3 | Avatar: https://pbs.twimg.com/profile_images/1126533667453591552/Xhff2MVn_400x400.jpg
2224603962 | עלמונית ‏‎ليئات حداد, יהודייה-ערבייה 🐣 | @Liat_hadad | Private: 0 | Verified: 0 | Bio: ‏‏לא דו(ג)מה לכלום. ‏‏‏קרובה רחוקה של סימה וקנין מכשפה. ‏אחת משלישיית הצייצנים דובי, בובי ובובית המופיעים בבתי אבות, בגני ילדים, בוועדי עובדים ובמקלטים | Location: יבנה עיר האורות | Url: None | Joined: 1 Dec 2013 2:11 AM | Tweets: 54892 | Following: 1245 | Followers: 1474 | Likes: 133985 | Media: 1970 | Avatar: https://pbs.twimg.com/profile_images/1130339651141734400/FSYV3TmI_400x400.jpg
1114530866351484928 | זיוה קימר | @zivakimerdiva | Private: 0 | Verified: 0 | Bio: שמי זיוה קימר, חובבת היסטוריה (מלחמת האזרחים האמריקאית ומלחמת העולם השנייה בפרט), קולנוע ארגנטינאי וריקודים סלוניים. אוהבת להאזין לשוסטוקוביץ׳ ולביטלס. | Location:  | Url: None | Joined: 6 Apr 2019 7:10 AM | Tweets: 982 | Following: 329 | Followers: 110 | Likes: 2075 | Media: 119 | Avatar: https://pbs.twimg.com/profile_images/1114532026139533312/Ki94lfIC_400x400.jpg
